Service_Name|Version|Service_Category|Atm_Service_Category|Messaging_Mode|LifeCicleStage|InterfaceType|ServiceProviderName
EndUserNotification|1.0|Aeronautical|FlightPlanning|Essential|Verification|Method-Oriented|SystemWideInformationManagement(SWIM)
ERAMFlightInformation|1.0|Flight|FlightPlanning||Proposed||EnRouteAutomationModernization
FederalNOTAMSystem(FNS)NOTAMOriginationService(NOS)|1.0|Aeronautical|FlightPlanning|Essential|Development|Method-Oriented|AeronauticalInformationManagementdirectorate(AIM)
FlightPlanService(FPS)|1.0.0|Flight|FlightPlanning|Essential|Development|Method-Oriented|FAAEnRouteServicesModernizationGroup(ESMG)
FNSNOTAMDistribution|1.0|Aeronautical|FlightPlanning|Essential|Verification|Method-Oriented|AeronauticalInformationManagement
FNSNOTAMPublication|1.0|Aeronautical|Airport|Publish/Subscribe|Verification|Message-Oriented|AeronauticalInformationManagement
GetStaticSAA|1.0|Aeronautical|FlightPlanning|Essential|Verification|Method-Oriented|AeronauticalInformationManagement(AIM)
IntegratedTerminalWeatherService(ITWS)|1.0|Weather|ArrivalandDeparture|Publish/Subscribe|Production|Message-Oriented|USDOTVolpeCenter
NWSWINSWCSGriddeddataproducts|1.0|Weather|FlightPlanning|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWCSGriddeddataproducts|1.0|Weather|Airport|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWCSGriddeddataproducts|1.0|Weather|ArrivalandDeparture|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWCSGriddeddataproducts|1.0|Weather|EnRouteCruise/Oceanic|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWCSGriddeddataproducts|1.0|Weather|EnRouteCruise/Oceanic|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWFSNonGriddedproducts|1.0|Weather|FlightPlanning|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWFSNonGriddedproducts|1.0|Weather|Airport|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWFSNonGriddedproducts|1.0|Weather|ArrivalandDeparture|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWFSNonGriddedproducts|1.0|Weather|EnRouteCruise/Oceanic|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
NWSWINSWFSNonGriddedproducts|1.0|Weather|EnRouteCruise/Oceanic|Essential|Development|Method-Oriented|AviationWeather&AeronauticalServices(AJM-33)WeatherandRadarProcessor
PublishAltimeterSetting(WMSCR)|1.0|Weather|FlightPlanning|Publish/Subscribe|Verification|Message-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
PublishAltimeterSetting(WMSCR)|1.0|Weather|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
PublishAltimeterSetting(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Publish/Subscribe|Verification|Message-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
PublishAltimeterSetting(WMSCR)|1.0|Weather|EnRouteCruise/Oceanic|Publish/Subscribe|Verification|Message-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
